brand,vehicle_type,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Resale_Value_L,Initial_Mileage,Current_Mileage,value_for_money_score
BYD,Bike,83,387,178,30105,3,30673,2019,2025,100245,36667,257,232,0.6
BYD,Car,92,408,129,116374,0,13019,2021,2025,2921949,1477248,236,231,0.7
BYD,Bike,62,168,116,110252,4,5092,2022,2025,87493,50953,159,123,0.5
Ola,Bike,63,380,165,111614,1,27600,2023,2025,155540,104376,138,105,0.6
BYD,Car,89,450,120,65996,2,33103,2023,2025,952135,706558,380,312,0.7
TVS,Car,65,441,174,131913,3,3218,2021,2025,3272889,1943526,145,126,0.6
Hyundai,Bike,89,457,115,118392,4,12664,2024,2025,90779,72438,147,140,0.8
Kia,Bike,67,432,160,108252,0,36884,2017,2025,124016,27773,442,386,0.5
BYD,Bike,77,330,161,30439,2,7396,2018,2025,92784,35766,128,120,0.6
Tata,Car,75,485,73,107275,6,29301,2019,2025,1365455,455844,299,262,0.5
Kia,Bike,65,441,170,125883,3,6062,2023,2025,91459,67140,342,319,0.8
Ola,Car,83,416,142,40452,0,22933,2024,2025,1813145,1533479,389,366,0.7
TVS,Car,87,492,174,51037,6,29208,2019,2025,2611076,1145114,377,376,0.7
Tata,Car,91,406,66,39577,0,17113,2024,2025,2269467,1868926,192,173,0.7
Tata,Bike,84,357,113,35106,2,19281,2021,2025,100722,58004,151,109,0.6
Tata,Car,87,272,141,33799,0,14248,2022,2025,3372902,1932496,214,202,0.6
Tata,Bike,80,131,117,28502,2,12068,2023,2025,89797,66167,315,280,0.5
Kia,Car,67,299,120,92484,4,5187,2022,2025,3149142,2125702,251,193,0.5
Kia,Bike,95,179,167,68512,6,18397,2020,2025,197164,96998,283,241,0.6
Hyundai,Bike,68,452,131,103364,6,36376,2019,2025,104349,46260,314,299,0.5
BYD,Car,99,174,87,41175,3,3069,2020,2025,2504004,1194732,280,211,0.5
Mahindra,Bike,80,363,144,58918,0,5747,2022,2025,108911,62150,176,157,0.7
Hyundai,Car,60,184,114,9895,1,36466,2023,2025,2138234,1449309,193,190,0.3
Hyundai,Car,63,316,158,103967,2,36883,2017,2025,2606400,521279,296,257,0.3
TVS,Car,69,220,170,27842,4,17664,2023,2025,3161454,2033769,309,307,0.5
TVS,Car,85,119,133,145891,5,7308,2021,2025,2686971,1538160,105,100,0.5
BYD,Car,99,248,112,120914,7,6913,2020,2025,1644621,859881,184,150,0.6
Mahindra,Car,62,106,151,35612,7,7406,2018,2025,2257666,659490,426,314,0.3
TVS,Car,68,476,142,109563,1,35540,2019,2025,1199870,443494,117,108,0.5
BYD,Bike,91,477,103,123398,7,7815,2021,2025,155264,82797,125,116,0.8
BYD,Car,62,492,158,86767,3,14631,2022,2025,1019508,606487,339,319,0.7
Kia,Car,63,185,87,23840,4,26413,2021,2025,3136279,1880739,291,206,0.2
MG,Bike,65,485,105,80144,2,15575,2018,2025,172606,66978,179,177,0.5
Kia,Bike,68,246,108,66609,4,8899,2019,2025,109799,43361,319,247,0.5
Mahindra,Car,85,415,126,107171,6,10831,2021,2025,2553531,1552384,274,236,0.7
TVS,Car,61,286,162,25388,5,39979,2023,2025,1191821,936517,245,182,0.4
Mahindra,Car,61,424,86,81712,6,12641,2019,2025,1632765,654901,285,217,0.4
Hyundai,Bike,80,400,140,96287,4,33400,2024,2025,146712,112695,387,287,0.7
Hyundai,Car,81,417,138,82376,4,16226,2023,2025,3043079,2158535,327,319,0.7
Mahindra,Bike,62,493,175,93663,3,5038,2018,2025,155827,60033,115,94,0.7
MG,Car,94,478,165,49553,1,13537,2022,2025,2947178,2006620,245,201,0.8
MG,Car,97,292,98,26983,4,16045,2023,2025,2821668,2047343,105,99,0.6
Kia,Bike,92,381,145,18147,6,10669,2019,2025,126618,44006,351,264,0.7
Mahindra,Car,74,287,143,85433,0,24788,2024,2025,2293279,1893462,372,364,0.5
TVS,Car,70,117,86,51688,4,15673,2019,2025,1146869,391867,108,76,0.3
Kia,Car,69,414,94,36483,4,20909,2021,2025,2977530,1502048,442,430,0.5
Ola,Bike,95,248,177,48582,3,25142,2020,2025,176725,80634,423,355,0.7
MG,Car,73,145,106,86893,3,21623,2021,2025,865309,435390,164,127,0.4
Tata,Car,61,111,111,121309,6,32479,2018,2025,3053752,890527,300,299,0.1
Kia,Bike,96,329,128,91208,3,19562,2018,2025,108236,39141,420,339,0.6
Hyundai,Bike,88,212,125,54506,6,20915,2017,2025,102517,31600,153,137,0.5
Kia,Car,94,259,100,13249,7,39790,2024,2025,3325723,2595974,180,147,0.5
Mahindra,Car,79,326,109,101748,7,19048,2018,2025,1596765,573518,439,417,0.5
Tata,Bike,80,282,104,41141,5,7789,2022,2025,188220,116403,110,104,0.6
Mahindra,Car,93,154,79,123043,6,38933,2017,2025,2733263,758010,292,227,0.2
BYD,Car,92,365,179,33791,3,15017,2018,2025,955730,354474,429,344,0.7
Hyundai,Bike,78,134,130,26968,4,30028,2021,2025,170052,96394,141,126,0.4
Hyundai,Car,67,179,95,23639,4,7938,2019,2025,3168665,1133312,268,254,0.3
MG,Car,90,105,131,127591,7,16260,2020,2025,2435218,1253243,346,323,0.4
Kia,Bike,70,226,150,78196,2,38394,2024,2025,123126,91628,276,233,0.5
MG,Car,67,167,129,79499,3,30791,2022,2025,2894840,1667734,177,176,0.3
Tata,Car,84,289,83,10755,2,3537,2023,2025,2434144,1829489,182,134,0.6
Kia,Car,79,343,95,23963,7,19333,2024,2025,1243966,1033862,442,400,0.6
BYD,Bike,97,108,64,36961,1,5916,2018,2025,157517,53005,388,323,0.4
Mahindra,Car,66,256,143,123918,6,29713,2019,2025,2576765,935901,174,122,0.3
BYD,Bike,72,170,178,103654,3,27980,2017,2025,145694,42480,279,234,0.4
Hyundai,Bike,98,233,79,67013,5,29811,2022,2025,145081,85720,370,365,0.6
Tata,Car,69,399,112,7691,5,35552,2021,2025,3012600,1664429,421,385,0.4
Ola,Bike,67,419,164,58447,6,35076,2018,2025,171144,51392,163,118,0.5
Tata,Car,79,348,99,44154,7,31069,2020,2025,2540499,1086996,399,337,0.4
TVS,Car,76,422,157,18453,1,8177,2023,2025,1070953,829879,437,393,0.8
Tata,Car,70,143,162,90240,5,22759,2021,2025,3317153,1658937,383,362,0.3
BYD,Bike,75,215,109,81629,0,22775,2020,2025,148655,60731,420,294,0.4
TVS,Car,96,497,133,94750,4,6887,2018,2025,1854509,532465,197,163,0.8
TVS,Car,91,492,126,10923,4,14082,2024,2025,1280250,966188,323,251,0.9
Kia,Car,85,327,172,125304,2,38688,2017,2025,2881005,837695,220,199,0.4
Kia,Bike,96,156,157,19929,4,25080,2021,2025,198350,109560,163,119,0.6
TVS,Bike,68,343,94,59292,7,33943,2021,2025,90054,53373,430,388,0.4
Ola,Car,94,156,123,66742,1,36516,2019,2025,1984025,696363,403,302,0.4
Kia,Car,62,242,96,47910,4,38577,2019,2025,1605790,563546,344,290,0.2
Tata,Car,90,291,104,105057,7,32632,2022,2025,2387652,1558882,206,150,0.5
BYD,Car,66,106,168,85131,3,35563,2020,2025,2682341,1188406,293,278,0.2
Tata,Bike,61,374,97,126726,0,10357,2024,2025,158900,125830,139,128,0.6
Ola,Bike,84,233,169,38393,2,16709,2021,2025,154705,85562,116,91,0.6
Hyundai,Bike,99,138,146,62788,7,32800,2017,2025,165794,34788,237,179,0.5
MG,Bike,71,292,160,61510,6,27209,2024,2025,124206,97141,207,193,0.6
BYD,Bike,89,426,144,111929,2,12688,2018,2025,137866,50326,184,141,0.7
Kia,Bike,89,124,86,94987,2,28232,2019,2025,116015,43697,119,95,0.4
BYD,Bike,88,201,179,82496,3,8072,2020,2025,91882,44619,379,288,0.7
Tata,Car,70,250,124,77942,4,4673,2024,2025,1263331,1013721,415,326,0.6
MG,Car,82,316,132,10949,3,22535,2024,2025,2056353,1542871,297,249,0.6
Mahindra,Car,76,329,62,129759,1,28313,2024,2025,838168,634707,151,142,0.5
Mahindra,Car,72,366,118,52070,5,17102,2022,2025,1690039,1017796,366,339,0.6
Kia,Car,92,261,161,74793,4,38470,2024,2025,1113811,829200,173,129,0.6
Ola,Car,60,386,159,135685,3,9818,2020,2025,1042862,542469,144,122,0.6
Mahindra,Bike,99,265,157,103081,7,34566,2018,2025,131197,41338,146,102,0.6
BYD,Car,72,473,89,79369,1,34658,2021,2025,2285537,1110596,124,89,0.5
Mahindra,Bike,97,469,154,47416,1,39247,2021,2025,85040,52287,120,106,0.8
Hyundai,Car,62,346,153,144796,3,36830,2022,2025,1752914,998204,143,122,0.4
Hyundai,Bike,75,273,75,101803,3,20096,2021,2025,154689,94097,150,147,0.5
Kia,Bike,66,495,88,29320,0,27608,2020,2025,166290,90437,255,239,0.5
Hyundai,Car,62,108,129,57731,3,28655,2023,2025,1760313,1339605,292,223,0.3
Mahindra,Car,73,496,137,116974,2,18660,2022,2025,1352936,869059,325,283,0.7
Ola,Car,75,375,133,25016,4,21879,2017,2025,3202453,862544,292,289,0.4
TVS,Car,63,158,147,53645,6,30861,2019,2025,2451174,985607,432,376,0.2
TVS,Car,90,184,159,13928,1,18745,2024,2025,3286596,2626862,362,286,0.6
Kia,Bike,72,249,83,56178,6,20579,2023,2025,117725,75479,189,163,0.5
MG,Car,86,420,66,27700,2,5899,2021,2025,3286571,1797930,238,171,0.6
TVS,Bike,60,159,108,90659,5,22624,2017,2025,114758,22951,303,220,0.2
TVS,Bike,84,224,122,70215,2,12038,2018,2025,88976,33454,275,257,0.5
Hyundai,Bike,96,140,160,22825,7,35801,2023,2025,125846,88046,368,351,0.6
Hyundai,Car,70,436,105,89127,1,29183,2018,2025,2349028,818504,352,266,0.4
Mahindra,Car,68,272,171,63486,5,21439,2018,2025,2194020,768940,387,279,0.4
Kia,Car,66,359,163,55112,7,22305,2023,2025,1984079,1271312,396,320,0.6
MG,Car,73,425,107,136160,4,18479,2023,2025,2938456,2183243,261,238,0.6
Kia,Car,89,272,161,26171,0,18813,2024,2025,2425681,1793263,418,406,0.7
Tata,Car,83,285,84,114897,0,10914,2020,2025,2083664,1001932,333,263,0.5
BYD,Bike,62,340,102,80907,5,6361,2021,2025,103147,59084,299,253,0.5
MG,Car,98,438,114,53664,2,32363,2018,2025,3317924,1223837,449,338,0.5
MG,Bike,86,193,93,80343,7,4963,2023,2025,162714,112362,190,144,0.6
Ola,Bike,60,162,124,141578,2,38162,2020,2025,150911,70903,212,162,0.3
Kia,Car,97,320,87,73991,3,11529,2023,2025,2840151,1979896,288,241,0.6
Mahindra,Car,85,107,100,60616,0,24400,2024,2025,1621756,1208174,238,190,0.4
Ola,Car,65,312,88,87226,0,11644,2024,2025,2417710,1814901,438,315,0.5
MG,Car,71,308,91,148640,4,9770,2019,2025,923899,420235,241,176,0.5
MG,Car,97,308,128,34480,3,18062,2017,2025,2931800,887975,161,143,0.5
MG,Car,94,475,93,128619,1,3387,2017,2025,1286832,297482,110,97,0.7
TVS,Bike,69,184,118,20551,7,36630,2023,2025,189744,146348,356,332,0.4
Kia,Bike,68,306,169,30494,1,39651,2023,2025,111470,71788,343,310,0.5
BYD,Bike,82,446,120,33837,4,15654,2019,2025,86844,32143,232,215,0.7
BYD,Bike,89,252,111,73484,1,23240,2018,2025,168070,43467,367,363,0.5
Ola,Bike,81,260,122,67524,0,13364,2020,2025,140891,76916,328,249,0.6
MG,Bike,68,215,85,105993,2,20295,2017,2025,131269,31673,294,271,0.3
BYD,Car,78,461,136,56202,3,21236,2020,2025,1076571,517707,283,278,0.6
Hyundai,Car,67,350,71,72019,1,28098,2024,2025,3434219,2862324,406,288,0.4
Kia,Car,63,499,81,54132,1,12857,2017,2025,1928513,573103,342,273,0.4
BYD,Bike,64,282,132,124744,1,36796,2023,2025,166174,124333,127,125,0.5
Mahindra,Bike,78,263,115,19688,1,15770,2018,2025,185573,53386,294,293,0.5
Kia,Bike,77,427,65,19397,2,9390,2018,2025,176331,67861,282,223,0.5
Mahindra,Car,88,179,95,114812,2,39862,2021,2025,2115669,1174513,194,185,0.3
BYD,Car,78,106,133,95619,5,17352,2018,2025,2174399,703489,425,303,0.3
Hyundai,Car,65,424,160,84704,6,11380,2021,2025,833812,492365,149,124,0.7
Mahindra,Bike,64,186,118,64785,4,30317,2023,2025,185200,138044,119,95,0.4
TVS,Bike,64,107,118,33022,6,17634,2018,2025,129489,46273,287,251,0.3
BYD,Bike,67,486,155,108985,7,11785,2023,2025,105848,73333,426,409,0.8
TVS,Car,86,469,127,53542,7,39516,2023,2025,910978,655310,361,264,0.7
BYD,Bike,96,135,111,101754,0,31866,2023,2025,187202,126115,423,385,0.5
Tata,Car,97,350,179,148457,1,7602,2020,2025,2945250,1308723,382,346,0.7
Tata,Car,96,199,127,104942,4,31865,2021,2025,1238249,677529,261,243,0.5
Tata,Car,77,178,136,59350,0,34187,2023,2025,2147814,1384098,328,281,0.4
Mahindra,Car,85,385,139,27937,2,16895,2021,2025,2884387,1647478,388,298,0.6
TVS,Car,75,370,166,102537,1,31268,2023,2025,1918028,1263367,316,224,0.6
TVS,Car,81,320,110,71770,6,34432,2024,2025,2301808,1837906,344,341,0.5
TVS,Car,82,295,173,56095,2,6613,2020,2025,1380462,713243,244,174,0.7
Hyundai,Bike,62,325,149,52298,5,21235,2019,2025,170909,63985,183,159,0.5
TVS,Car,62,186,156,54191,1,25963,2017,2025,3253794,767373,222,175,0.2
Hyundai,Bike,71,157,176,77132,2,34950,2018,2025,158824,53857,149,136,0.4
Tata,Car,82,269,127,78547,6,34419,2017,2025,1646253,329250,335,239,0.4
Tata,Car,70,196,85,56235,7,21736,2018,2025,1309370,497549,420,385,0.3
Mahindra,Car,88,245,132,62886,4,35363,2022,2025,2222619,1470367,413,322,0.5
BYD,Bike,65,488,100,29288,4,11025,2021,2025,105263,54776,427,374,0.6
Tata,Car,75,492,134,105614,6,30059,2024,2025,2642666,2227758,149,121,0.6
BYD,Car,93,457,64,40033,2,33911,2022,2025,2744555,1744428,413,313,0.6
BYD,Bike,96,470,112,128155,2,27869,2023,2025,169045,124356,422,337,0.8
Kia,Bike,70,492,97,49498,7,35771,2019,2025,145049,61017,398,358,0.5
Mahindra,Bike,70,117,175,86898,6,27728,2021,2025,101478,57615,242,170,0.4
MG,Bike,84,283,155,125292,3,6668,2020,2025,199507,93573,294,250,0.7
MG,Car,78,242,152,97165,6,30250,2021,2025,2806802,1639173,391,294,0.4
Ola,Car,91,433,161,125954,1,13418,2018,2025,2014962,663985,411,360,0.7
Kia,Bike,67,161,163,96877,3,20265,2020,2025,135144,61702,241,227,0.4
Mahindra,Car,71,262,151,147416,6,19408,2024,2025,3112779,2553418,161,137,0.5
Ola,Bike,94,139,112,45361,2,36773,2018,2025,198534,51540,271,222,0.4
Ola,Bike,65,278,147,111238,4,28284,2022,2025,166458,98136,425,373,0.5
Kia,Bike,80,334,115,141921,1,11843,2023,2025,173790,133589,152,117,0.7
MG,Car,85,479,78,123897,4,17747,2017,2025,3245779,649155,184,128,0.5
Mahindra,Bike,60,159,177,43764,2,3786,2018,2025,123146,44691,371,340,0.4
MG,Car,76,327,124,142415,6,31149,2019,2025,1342698,607723,323,306,0.4
Ola,Car,94,338,128,18446,6,5035,2018,2025,1503858,366117,301,273,0.6
Mahindra,Car,86,155,146,29732,3,17261,2019,2025,997768,386625,324,318,0.5
Ola,Bike,61,333,112,135892,6,17706,2023,2025,122149,80580,184,133,0.5
TVS,Car,95,183,78,50099,7,31926,2021,2025,2720817,1613443,407,295,0.4
Kia,Bike,60,302,125,17062,6,28923,2021,2025,166969,81530,441,369,0.4
BYD,Car,69,140,107,60618,1,28430,2022,2025,1646015,946435,202,180,0.3
Mahindra,Car,90,116,125,81034,5,5652,2024,2025,2484027,1960713,165,142,0.6
Mahindra,Car,96,204,132,135497,3,19040,2018,2025,1323517,348950,196,158,0.5
BYD,Bike,64,124,77,85714,1,6042,2024,2025,192510,156393,332,268,0.4
Ola,Bike,72,481,139,80014,5,11527,2017,2025,169650,37271,152,126,0.6
TVS,Bike,83,192,98,140194,5,21088,2017,2025,174427,36664,159,112,0.4
Hyundai,Bike,86,314,132,122091,4,6044,2019,2025,108115,37083,333,294,0.7
BYD,Car,60,492,167,93617,0,16790,2022,2025,2836815,1736783,343,266,0.6
Kia,Car,79,283,110,84068,1,34907,2022,2025,1601438,901920,161,125,0.5
MG,Bike,67,316,82,25308,6,6070,2023,2025,189927,149694,445,421,0.6
Ola,Bike,62,250,92,101828,2,4474,2022,2025,127424,74516,401,356,0.5
BYD,Bike,91,473,119,95387,6,26891,2018,2025,178011,61447,147,127,0.7
BYD,Bike,84,357,161,100822,1,24974,2022,2025,171658,118989,237,192,0.7
Mahindra,Car,84,400,118,12254,5,6680,2019,2025,1825932,799304,214,179,0.6
MG,Bike,73,218,157,111062,2,34226,2021,2025,178763,91268,119,112,0.5
MG,Bike,86,233,85,29626,0,26551,2018,2025,100174,33067,178,144,0.4
Kia,Car,91,306,76,29449,0,6306,2018,2025,1220044,354387,332,262,0.5
MG,Bike,86,362,112,50295,4,21212,2018,2025,138872,40452,380,308,0.6
BYD,Car,63,421,137,88290,4,12495,2019,2025,1193509,498770,385,307,0.5
Hyundai,Bike,98,289,136,25368,7,32694,2018,2025,124198,38542,122,109,0.6
Tata,Car,70,257,145,93258,7,21564,2022,2025,1783699,1130631,300,297,0.5
Ola,Bike,62,175,102,17231,6,20609,2020,2025,106414,51602,183,129,0.3
Tata,Bike,84,151,107,111596,7,20714,2019,2025,95788,41467,382,340,0.4
BYD,Bike,83,325,141,75343,7,39423,2023,2025,180834,130351,133,111,0.6
Tata,Bike,68,193,79,45175,0,18633,2022,2025,193997,135573,352,347,0.4
BYD,Bike,67,391,153,140560,7,36143,2017,2025,121836,24789,241,195,0.4
Tata,Car,98,390,94,6104,1,4656,2023,2025,3079190,2205120,181,129,0.7
MG,Bike,90,421,92,37329,5,39199,2017,2025,165688,33137,347,287,0.5
TVS,Car,76,277,169,131871,1,9300,2020,2025,3346430,1730184,267,199,0.5
MG,Car,90,486,140,10815,4,22705,2017,2025,2782284,695601,426,326,0.6
MG,Car,63,205,158,149108,1,37080,2018,2025,1679850,423614,134,129,0.3
Kia,Car,63,175,135,146013,1,4064,2021,2025,3097411,1707991,328,280,0.4
Mahindra,Bike,96,103,61,98918,1,3768,2017,2025,149405,29880,340,330,0.4
Mahindra,Bike,67,410,93,20211,1,36854,2022,2025,126823,82483,335,271,0.5
Tata,Bike,65,286,135,84548,2,5536,2019,2025,114860,37980,239,218,0.5
BYD,Bike,68,119,149,103504,4,17969,2024,2025,83084,66134,116,108,0.5
Kia,Car,67,374,91,131926,0,13833,2023,2025,1542230,1172983,350,248,0.5
MG,Car,91,235,80,132657,7,34823,2017,2025,3330580,777690,276,269,0.3
Kia,Car,74,126,64,109464,0,19407,2023,2025,1565333,1079799,197,140,0.3
Tata,Bike,77,235,87,107637,2,19894,2020,2025,146577,65133,103,72,0.4
Mahindra,Bike,82,117,146,61044,4,39405,2018,2025,154299,48270,425,397,0.3
TVS,Bike,64,384,107,60641,6,8125,2022,2025,198655,126013,308,241,0.6
Ola,Bike,86,401,155,15689,5,20122,2017,2025,147478,40484,248,207,0.6
Tata,Car,92,486,128,14519,2,15248,2024,2025,2844995,2442269,389,303,0.8
Kia,Bike,61,492,158,86628,4,37039,2018,2025,168698,64341,154,142,0.5
TVS,Bike,97,237,129,78157,2,18505,2024,2025,159250,129418,101,83,0.7
Ola,Car,87,331,142,85310,6,38652,2022,2025,2173878,1452441,386,336,0.5
Hyundai,Car,83,439,167,145894,1,4581,2024,2025,1327334,976562,311,286,0.9
Tata,Bike,80,356,99,102735,2,10287,2022,2025,155353,109389,221,180,0.7
Tata,Bike,90,318,65,70627,2,10597,2022,2025,188587,110719,300,216,0.6
Hyundai,Car,70,231,73,30071,7,4814,2020,2025,930932,440630,178,171,0.4
Hyundai,Bike,87,456,178,138682,3,13276,2017,2025,142436,28487,442,365,0.7
Tata,Car,99,355,126,107034,6,3087,2020,2025,1492908,787043,206,176,0.7
Hyundai,Car,63,195,70,132354,6,3159,2018,2025,2199565,560937,326,323,0.3
MG,Bike,75,373,98,65110,4,7011,2024,2025,116338,95116,259,203,0.7
Ola,Car,71,433,100,126310,1,19357,2024,2025,3409028,2465816,286,212,0.6
Ola,Bike,81,400,83,91448,2,9215,2023,2025,119692,80822,310,278,0.7
Ola,Bike,94,467,102,136382,1,15460,2024,2025,198868,147721,327,258,0.8
MG,Bike,75,114,168,77846,7,36422,2022,2025,95318,67192,410,391,0.4
BYD,Bike,83,278,141,140139,5,20893,2021,2025,116908,73508,360,346,0.6
Hyundai,Car,94,359,154,142382,4,7774,2021,2025,1721230,1036069,267,194,0.8
TVS,Bike,87,187,133,92014,6,39712,2019,2025,114000,41608,378,376,0.4
Hyundai,Bike,88,193,85,132381,7,38853,2018,2025,82729,24685,113,104,0.3
Tata,Car,80,432,88,80593,6,20961,2024,2025,1175120,882619,379,272,0.7
Mahindra,Bike,84,494,61,100140,0,36129,2024,2025,122064,91557,366,364,0.7
Kia,Bike,98,127,89,30238,3,10729,2017,2025,114511,22902,296,211,0.5
Kia,Bike,90,284,162,84583,7,13963,2020,2025,191094,76602,264,196,0.7
Ola,Bike,74,174,170,27231,3,24527,2022,2025,98468,60399,378,293,0.5
Hyundai,Car,94,153,133,31499,4,35818,2023,2025,1462025,1044132,290,257,0.5
TVS,Car,97,420,135,51068,3,23175,2020,2025,3296457,1626701,404,392,0.6
Tata,Bike,81,146,143,127510,0,9594,2024,2025,154131,111741,285,219,0.6
MG,Car,64,347,116,10621,1,15301,2018,2025,2931137,857227,128,103,0.4
BYD,Car,72,333,177,17838,6,33562,2021,2025,2334907,1222467,411,303,0.5
MG,Car,91,217,164,81644,2,22436,2020,2025,944606,415656,230,200,0.6
TVS,Car,62,359,118,60200,7,19266,2019,2025,2195047,938466,152,140,0.4
Tata,Bike,74,329,78,74743,6,34841,2018,2025,182901,51534,279,234,0.4
Ola,Car,86,389,113,114931,7,10404,2017,2025,1261001,347283,204,160,0.6
Hyundai,Bike,86,340,129,80059,4,23673,2023,2025,84155,59899,222,175,0.7
Tata,Bike,89,431,179,69099,5,36132,2023,2025,110015,84662,232,220,0.8
Kia,Car,65,281,82,25934,5,23301,2020,2025,1814716,854589,100,94,0.3
BYD,Bike,84,416,142,120065,4,16175,2023,2025,105959,69450,239,215,0.8
MG,Car,87,200,154,42420,3,21969,2023,2025,2166687,1591388,306,268,0.6
BYD,Bike,81,347,92,30805,2,10245,2022,2025,142467,91579,272,208,0.6
BYD,Bike,63,448,125,85495,6,10465,2024,2025,111100,86392,191,182,0.7
TVS,Car,74,457,138,73731,3,20513,2017,2025,3085075,617014,276,241,0.5
TVS,Bike,85,212,70,143910,3,22416,2021,2025,143282,70444,119,114,0.5
Hyundai,Car,77,320,149,124099,7,20065,2021,2025,2982788,1695734,364,276,0.5
TVS,Bike,68,438,77,72072,1,32025,2023,2025,179433,115284,277,246,0.5
TVS,Bike,63,247,124,12341,1,26335,2017,2025,99341,19868,199,180,0.3
Tata,Car,64,486,91,39490,6,5479,2020,2025,2528905,1350518,252,215,0.5
Kia,Car,65,395,63,144869,3,5912,2021,2025,3063936,1477755,239,169,0.4
Ola,Car,71,296,145,58288,0,23069,2020,2025,2970619,1320868,121,101,0.4
Hyundai,Bike,90,168,95,65932,7,15972,2020,2025,135621,61570,286,246,0.5
Tata,Car,68,387,152,42207,4,25614,2021,2025,1251855,607090,108,95,0.6
Ola,Car,66,123,159,67117,7,29119,2020,2025,1402817,664517,215,172,0.3
BYD,Car,88,468,116,67370,7,32030,2019,2025,2788838,1231931,165,157,0.5
Tata,Car,73,470,173,33353,5,31747,2023,2025,1399752,1046152,233,204,0.7
Mahindra,Bike,79,285,92,136730,0,32315,2021,2025,110020,59690,280,274,0.5
Tata,Bike,91,269,162,15917,7,31180,2017,2025,110884,30653,408,358,0.5
TVS,Bike,81,390,73,47420,7,26483,2019,2025,199096,85267,346,306,0.5
Ola,Bike,95,131,107,19711,4,11776,2024,2025,158583,116140,166,157,0.6
Hyundai,Bike,77,400,170,77241,2,32936,2024,2025,120405,97407,178,168,0.7
Hyundai,Bike,99,275,96,112853,2,26083,2017,2025,158837,31767,380,321,0.5
Ola,Car,84,463,168,71395,0,4627,2023,2025,2999142,2163532,222,158,0.8
TVS,Bike,90,441,64,108299,3,18486,2021,2025,198389,106806,292,272,0.7
MG,Car,94,276,109,65476,7,39558,2018,2025,3418777,833865,282,258,0.4
Tata,Car,85,389,120,35574,5,6034,2020,2025,2116881,1159003,154,150,0.6
TVS,Car,63,243,145,27262,3,35323,2022,2025,2936055,2053032,438,362,0.3
Mahindra,Car,79,110,128,56557,6,27695,2019,2025,2059828,882604,227,201,0.3
Kia,Bike,93,246,160,103995,6,32465,2024,2025,80765,64148,208,182,0.7
BYD,Bike,71,447,97,66430,7,33036,2020,2025,183898,74590,208,172,0.5
Ola,Bike,75,409,105,93990,2,32201,2019,2025,110025,45447,193,168,0.5
Kia,Car,64,294,157,141259,3,31051,2018,2025,3288120,1073272,167,138,0.3
Tata,Bike,94,175,74,116605,1,22627,2018,2025,108018,31587,208,156,0.4
Hyundai,Bike,86,259,171,110274,7,12823,2021,2025,187646,90588,324,277,0.7
BYD,Bike,60,199,96,6442,2,10837,2022,2025,132073,88507,394,294,0.4
Kia,Bike,93,215,86,37012,6,33383,2024,2025,108020,83755,227,202,0.6
MG,Bike,91,479,171,135351,4,38142,2022,2025,167856,99724,318,295,0.8
Kia,Bike,98,182,60,73449,5,26575,2017,2025,113638,31791,226,168,0.4
Mahindra,Car,92,411,88,99144,4,38280,2022,2025,2031697,1379552,332,257,0.6
Hyundai,Car,90,162,131,39357,7,18696,2019,2025,2705849,1023316,258,200,0.4
Ola,Bike,72,231,156,95270,3,22558,2017,2025,176428,35285,227,177,0.4
Tata,Car,61,347,66,6072,4,28014,2018,2025,3064408,1025835,156,146,0.2
Ola,Car,89,494,88,10167,4,10466,2024,2025,2445120,1813235,220,178,0.8
BYD,Bike,69,230,90,69091,0,6796,2023,2025,80588,58236,389,323,0.5
Tata,Car,82,466,97,70640,0,19508,2020,2025,993127,474382,154,153,0.6
TVS,Bike,92,257,67,5280,4,9467,2024,2025,143091,116916,249,225,0.7
MG,Car,98,315,154,84641,2,29408,2023,2025,2553066,1928576,284,221,0.7
TVS,Bike,88,425,96,133871,5,28980,2020,2025,148865,76403,299,232,0.6
TVS,Car,89,133,118,56840,4,12620,2022,2025,2412394,1458619,386,272,0.5
Ola,Car,93,474,138,136245,5,15051,2023,2025,2210943,1606348,411,303,0.8
BYD,Car,98,431,113,116344,1,4427,2023,2025,1560668,1167381,122,107,0.8
MG,Car,76,397,175,8216,7,3292,2021,2025,2776851,1538194,234,233,0.7
Kia,Bike,81,378,117,71100,2,29105,2022,2025,104652,73771,129,116,0.6
Tata,Car,64,395,155,17508,5,26888,2020,2025,1280368,605867,312,253,0.5
Tata,Bike,70,114,85,63706,1,27392,2020,2025,135336,62359,122,120,0.3
Mahindra,Bike,81,214,107,83620,5,13207,2018,2025,177441,44231,356,270,0.5
Hyundai,Car,91,156,172,69370,1,5544,2023,2025,2952987,2027338,229,196,0.6
Mahindra,Car,83,466,70,25043,6,22606,2019,2025,2008857,806625,276,259,0.5
Kia,Bike,70,241,82,148914,6,21643,2021,2025,97702,53427,346,327,0.4
Mahindra,Car,70,306,93,61481,3,34102,2022,2025,1002617,564215,362,354,0.4
Tata,Bike,76,239,92,141793,0,26769,2017,2025,103141,29548,390,277,0.3
Ola,Car,91,206,140,66309,3,34824,2017,2025,2714600,572310,173,171,0.3
